,Count,Date,Day_of_week
01.01.2017,459,1-Jan-17,Sunday
01.02.2017,1970,1-Feb-17,Wednesday
01.03.2017,2288,1-Mar-17,Wednesday
01.04.2017,1418,1-Apr-17,Saturday
01.05.2017,1699,1-May-17,Monday
01.06.2017,2125,1-Jun-17,Thursday
01.07.2017,2250,1-Jul-17,Saturday
01.08.2017,2078,1-Aug-17,Tuesday
01.09.2017,1843,1-Sep-17,Friday
01.10.2017,705,1-Oct-17,Sunday
01.11.2017,1447,1-Nov-17,Wednesday
01.12.2016,19,1-Dec-16,Thursday
01.12.2017,1124,1-Dec-17,Friday
02.01.2017,404,2-Jan-17,Monday
02.02.2017,1103,2-Feb-17,Thursday
02.03.2017,1072,2-Mar-17,Thursday
02.04.2017,371,2-Apr-17,Sunday
02.05.2017,1879,2-May-17,Tuesday
02.06.2017,1289,2-Jun-17,Friday
02.07.2017,423,2-Jul-17,Sunday
02.08.2017,947,2-Aug-17,Wednesday
02.09.2017,577,2-Sep-17,Saturday
02.10.2017,1508,2-Oct-17,Monday
02.11.2017,933,2-Nov-17,Thursday
02.12.2016,12,2-Dec-16,Friday
02.12.2017,548,2-Dec-17,Saturday
03.01.2017,346,3-Jan-17,Tuesday
03.02.2017,1226,3-Feb-17,Friday
03.03.2017,1236,3-Mar-17,Friday
03.04.2017,1565,3-Apr-17,Monday
03.05.2017,1071,3-May-17,Wednesday
03.06.2017,556,3-Jun-17,Saturday
03.07.2017,1240,3-Jul-17,Monday
03.08.2017,894,3-Aug-17,Thursday
03.09.2017,268,3-Sep-17,Sunday
03.10.2017,1273,3-Oct-17,Tuesday
03.11.2017,1168,3-Nov-17,Friday
03.12.2016,8,3-Dec-16,Saturday
03.12.2017,339,3-Dec-17,Sunday
04.01.2017,1091,4-Jan-17,Wednesday
04.02.2017,628,4-Feb-17,Saturday
04.03.2017,501,4-Mar-17,Saturday
04.04.2017,1158,4-Apr-17,Tuesday
04.05.2017,946,4-May-17,Thursday
04.06.2017,315,4-Jun-17,Sunday
04.07.2017,946,4-Jul-17,Tuesday
04.08.2017,1149,4-Aug-17,Friday
04.09.2017,1359,4-Sep-17,Monday
04.10.2017,987,4-Oct-17,Wednesday
04.11.2017,576,4-Nov-17,Saturday
04.12.2016,2,4-Dec-16,Sunday
04.12.2017,1599,4-Dec-17,Monday
05.01.2017,801,5-Jan-17,Thursday
05.02.2017,328,5-Feb-17,Sunday
05.03.2017,357,5-Mar-17,Sunday
05.04.2017,998,5-Apr-17,Wednesday
05.05.2017,1250,5-May-17,Friday
05.06.2017,1403,5-Jun-17,Monday
05.07.2017,1361,5-Jul-17,Wednesday
05.08.2017,739,5-Aug-17,Saturday
05.09.2017,917,5-Sep-17,Tuesday
05.10.2017,860,5-Oct-17,Thursday
05.11.2017,385,5-Nov-17,Sunday
05.12.2016,7,5-Dec-16,Monday
05.12.2017,1351,5-Dec-17,Tuesday
06.01.2017,957,6-Jan-17,Friday
06.02.2017,1592,6-Feb-17,Monday
06.03.2017,1659,6-Mar-17,Monday
06.04.2017,920,6-Apr-17,Thursday
06.05.2017,677,6-May-17,Saturday
06.06.2017,984,6-Jun-17,Tuesday
06.07.2017,565,6-Jul-17,Thursday
06.08.2017,364,6-Aug-17,Sunday
06.09.2017,895,6-Sep-17,Wednesday
06.10.2017,1125,6-Oct-17,Friday
06.11.2017,1445,6-Nov-17,Monday
06.12.2016,10,6-Dec-16,Tuesday
06.12.2017,961,6-Dec-17,Wednesday
07.01.2017,440,7-Jan-17,Saturday
07.02.2017,1123,7-Feb-17,Tuesday
07.03.2017,1389,7-Mar-17,Tuesday
